date,department,program of study,year of study,overall quality of education,accessibility of college resources,effectiveness of communication channels,quality of campus facilities,likelihood to recommend the college,satisfaction with extracurricular activities,support provided by academic advisors,promotion of diversity and inclusion,effectiveness of career services,satisfaction with IT support,greatest strength,areas needing improvement,positive experience with professor/staff,additional resources or support desired,suggestions for enhancing student engagement
2023-01-13,Technical,Computer Networking,3.2,3,2,2,2,1,5,1,5,4,1,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.","The career services helped me land an internship, which was a fantastic experience.","The library is great, but we need more access to online resources."
2023-01-06,Technical,Data Science,1.2,4,5,3,1,2,4,3,3,2,2,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement.","The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,"The IT support is responsive, but the campus WiFi needs improvement."
2023-09-28,Business,Financial Engineering,3.1,3,1,4,5,1,4,1,5,3,5,Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.","The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience."
2023-03-30,Business,Digital Marketing,1.2,1,4,3,4,3,2,3,3,2,3,"The IT support is responsive, but the campus WiFi needs improvement.",The professors are very knowledgeable and supportive.,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2024-03-07,Business,Financial Engineering,3.2,5,2,3,1,2,1,3,4,3,1,"The career services helped me land an internship, which was a fantastic experience.",Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.",The diversity and inclusion initiatives are commendable.
2023-04-15,Business,Digital Marketing,2.1,2,2,5,5,3,5,4,5,4,3,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.","The library is great, but we need more access to online resources."
2024-01-06,Technical,Software Engineering,3.2,2,4,5,1,4,4,5,4,5,3,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement.",More extracurricular activities related to tech would be beneficial.,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement."
2022-09-16,Business,Financial Engineering,1.2,4,1,3,5,2,5,1,3,5,5,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,Communication from the administration could be more timely.,The professors are very knowledgeable and supportive.,"The library is great, but we need more access to online resources."
2023-11-02,Business,Financial Engineering,1.1,1,3,3,2,1,2,5,1,1,4,"The IT support is responsive, but the campus WiFi needs improvement.",The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.
2024-06-28,Business,Financial Engineering,1.2,5,2,3,4,3,4,5,4,1,2,"The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.",Communication from the administration could be more timely.,"The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience."
2022-09-09,Technical,Computer Networking,1.1,1,2,1,1,3,1,5,2,3,4,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment."
2024-05-13,Business,Digital Marketing,1.1,1,4,3,4,4,4,1,1,1,4,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.","The career services helped me land an internship, which was a fantastic experience.","The career services helped me land an internship, which was a fantastic experience."
2022-10-05,Business,Digital Marketing,2.2,2,3,4,2,1,4,5,1,1,5,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,The diversity and inclusion initiatives are commendable.
2023-07-10,Business,Financial Engineering,1.2,4,1,2,4,1,4,3,4,3,4,"The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.,"The career services helped me land an internship, which was a fantastic experience.",More extracurricular activities related to tech would be beneficial.,"The career services helped me land an internship, which was a fantastic experience."
2023-03-17,Technical,Computer Networking,3.2,3,1,1,5,4,5,5,2,1,5,"The IT support is responsive, but the campus WiFi needs improvement.",The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience."
2023-05-31,Business,Digital Marketing,3.1,2,5,5,1,5,1,4,5,5,5,Communication from the administration could be more timely.,More extracurricular activities related to tech would be beneficial.,"The career services helped me land an internship, which was a fantastic experience.",Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience."
2023-12-17,Business,Financial Engineering,1.2,3,4,3,1,1,4,5,5,1,1,"The career services helped me land an internship, which was a fantastic experience.",More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement."
